Header	Description	pre_conditions	post_conditions	difficulty	hasForAll	hasExists	hasArrays	hasEquality	hasLogicOperator	hasRelationalComparer	hasArithmetic	hasImplication
public static void multiply(int a, int retval)	Multiply a strictly positive integer a by 2, resulting in retval.	a >= 1	retval == (a * 2)	1	0	0	0	1	0	1	1	0
public static void swap(int[] a, int[] b, int i, int j, int k)	Given an array a and integers i and j, return array b, which is a with the entries on indices i and j swapped.	a != null && i >= 0 && j >= 0 && i < a.length && j < a.length	(b != null) && (a.length == b.length) && forall(a, k -> (k == i) || (k == j) || (a[k] == b[k])) && (a[i] == b[j]) && (a[j] == b[i])	5	1	0	1	1	1	1	0	0
public static void getMax(int[] a, int b, int i) 	Given a non-empty array a of integers, return its maximum value b.	a != null && (a.length > 0)	exists(a, i -> a[i] == b) && forall(a, i -> a[i] <= b)	4	1	1	1	1	1	1	0	0
public static void sort(int[] a, int[] retval, int i, int j)	Sort an array of distinct elements a, resulting in retval.	(a != null) && forall(a, i -> forall(a, j -> (i == j) || (a[i] != a[j])))	(retval != null) && forallr(retval, 1, retval.length, i -> retval[i] > retval[i - 1]) && forall(retval, i -> exists(a, j -> retval[i] == a[j])) && (retval.length == a.length)	5	1	0	1	0	0	1	0	0
public static void sqrt(int a, float f)	Given a non-negative integer a, return the square root of a as a float f up to an error of at most 0.01.	a >= 0	(((f + 0.01) * (f + 0.01) >= a) && ((f - 0.01) * (f - 0.01) <= a)) || ((a == 0) && (f <= 0.01) && (f + 0.01 >= 0))	4	0	0	0	1	1	1	1	0
public static void foo(int a, int b)	Given a strictly negative integer a, return b, which equals a.	a < 0	a == b	1	0	0	0	1	0	1	0	0
public static void getMin(int[] a, int b, int i) 	Given an array of integers a, return its minimum value b.	a != null && (a.length > 0)	exists(a, i -> a[i] == b) && forall(a, i -> a[i] >= b)	4	1	1	1	1	1	1	0	0
public static void modulo(int a, int b, int retval)	Given integer a and strictly posiive integer b, return a modulo b, resulting in retval.	b > 0	retval == (a % b)	2	0	0	0	1	0	1	1	0
public static void implication(boolean a, int b, int c, int retval)	Given boolean a and integers b and c, return integer retval, which is b if a is true and c otherwise.	(true)	imp(a, retval == b) && imp(!a, retval == c)	2	0	0	0	1	1	0	0	1
public static void isSum(int x, int a1, int a2, int a3, boolean retval)	Checks whether x is equal to the sum of a1, a2, and a3. Returns the result in retval.	(true)	retval == (x == (a1 + a2 + a3))	1	0	0	0	1	0	0	1	0
